key,description
ACCOUNTS.ACC_AAD_ID,The system generated unique identification number for the account
ACCOUNTS.ACC_AAG_END_DT,Plan arrangement end date
ACCOUNTS.ACC_AAG_IND,Plan arrangement indicator
ACCOUNTS.ACC_AAG_START_DT,Plan arrangement start date
ACCOUNTS.ACC_ABS_RUN_DT_LAST,Stores the trial balance last run date
ACCOUNTS.ACC_ABS_RUN_DT_NEXT,Stores the trial balance next run date
ACCOUNTS.ACC_ACC_RUN_DT_NEXT,The effective date of next accrual run date
ACCOUNTS.ACC_ACCRUAL_AUTO_STOP_IND,Indicates stop accrual has been posted through batch
ACCOUNTS.ACC_ACCRUAL_BASE_METHOD_CD,Reference key to lookup accrual base method such as 360 365 or 366
ACCOUNTS.ACC_ACCRUAL_CALC_METHOD_CD,Reference key to lookup accrual calculation method such as actuarial  sum of digits or simple interest
ACCOUNTS.ACC_ACCRUAL_CALC_METHOD_CD_CUR,Reference key to lookup accrual calculation method such as actuarial  sum of digits or simple interest ( Current )
ACCOUNTS.ACC_ACCRUAL_DT_LAST,The date on which last interest accrual date was done
ACCOUNTS.ACC_ACCRUAL_DT_START,The date on which interest accrual date starts
ACCOUNTS.ACC_ACCRUAL_PAST_MATURITY_IND,Indicates whether accrual is allowed after maturity
ACCOUNTS.ACC_ACCRUAL_START_DAYS,Number of delay days for accrual to start
ACCOUNTS.ACC_ACCRUAL_START_DT_BASIS_CD,Reference key to lookup accrual start date basis
ACCOUNTS.ACC_ACCRUAL_STOP_IND,Indicates whether accrual has been stopped
ACCOUNTS.ACC_ACH_ACCOUNT_NBR,The account number of the bank for ACH transaction
ACCOUNTS.ACC_ACH_ACCOUNT_NBR_CUR,The account number of the bank for ACH transaction (Current)
ACCOUNTS.ACC_ACH_ACCOUNT_TYPE_CD,Reference key to lookup ACH account type such as checking saving etc
ACCOUNTS.ACC_ACH_ACCOUNT_TYPE_CD_CUR,Reference key to lookup ACH account type such as checking saving etc (Current)
ACCOUNTS.ACC_ACH_BANK_NAME,The name of the ACH bank of the customer
