key,description
API_ACCOUNTS.ACT_FTA_TABLE_ATTRIBUTE6,ACT_FTA_TABLE_ATTRIBUTE6 Name of the account tracking attribute parameter 6
API_ACCOUNTS.ACT_FTA_TABLE_ATTRIBUTE7,ACT_FTA_TABLE_ATTRIBUTE7 Name of the account tracking attribute parameter 7
API_ACCOUNTS.ACT_FTA_TABLE_ATTRIBUTE8,ACT_FTA_TABLE_ATTRIBUTE8 Name of the account tracking attribute parameter 8
API_ACCOUNTS.ACT_FTA_TABLE_ATTRIBUTE9,ACT_FTA_TABLE_ATTRIBUTE9 Name of the account tracking attribute parameter 9
API_ACCOUNTS.ACT_FTA_TABLE_ATTRIBUTE10,ACT_FTA_TABLE_ATTRIBUTE10 Name of the account tracking attribute parameter 10
API_ACCOUNTS.ACT_VALUE1,ACT_VALUE1 Value of the account tracking attribute 1
API_ACCOUNTS.ACT_VALUE2,ACT_VALUE2 Value of the account tracking attribute 2
API_ACCOUNTS.ACT_VALUE3,ACT_VALUE3 Value of the account tracking attribute 3
API_ACCOUNTS.ACT_VALUE4,ACT_VALUE4 Value of the account tracking attribute 4
API_ACCOUNTS.ACT_VALUE5,ACT_VALUE5 Value of the account tracking attribute 5
API_ACCOUNTS.ACT_VALUE6,ACT_VALUE6 Value of the account tracking attribute 6
API_ACCOUNTS.ACT_VALUE7,ACT_VALUE7 Value of the account tracking attribute 7
API_ACCOUNTS.ACT_VALUE8,ACT_VALUE8 Value of the account tracking attribute 8
API_ACCOUNTS.ACT_VALUE9,ACT_VALUE9 Value of the account tracking attribute 9
API_ACCOUNTS.ACT_VALUE10,ACT_VALUE10 Value of the account tracking attribute 10
API_ACCOUNTS.ACC_ESC_REQUIRED_IND_CUR,ACC_ESC_REQUIRED_IND_CUR Indicates if escrow is allowed for the account (current)
API_ACCOUNTS.ACC_ESC_OPT_OUT_IND_CUR,ACC_ESC_OPT_OUT_IND_CUR Indicates whether escrow is opted out (current)
API_ACCOUNTS.ACC_ESC_ANALYSIS_RUN_DT_NEXT,ACC_ESC_ANALYSIS_RUN_DT_NEXT The latest date on which escrow analysis was done for the account
API_ACCOUNTS.ACC_ESC_PMT_AMT_CUR,ACC_ESC_PMT_AMT_CUR Escrow payment amount (current)
API_ACCOUNTS.ACC_DUE_ESC_AMT,ACC_DUE_ESC_AMT The escrow amount due for the account
API_ACCOUNTS.ACC_ESC_AMT_PD,ACC_ESC_AMT_PD Total escrow amount paid
API_ACCOUNTS.ACC_ESC_DUE_AMT1,ACC_ESC_DUE_AMT1 Escrow Due amount 1 cycle old
API_ACCOUNTS.ACC_ESC_DUE_AMT2,ACC_ESC_DUE_AMT2 Escrow Due amount 2 cycle old
API_ACCOUNTS.ACC_ESC_DUE_AMT3,ACC_ESC_DUE_AMT3 Escrow Due amount 3 cycle old
API_ACCOUNTS.ACC_ESC_DUE_AMT4,ACC_ESC_DUE_AMT4 Escrow Due amount 4 cycle old
API_ACCOUNTS.ACC_ESC_DUE_AMT5,ACC_ESC_DUE_AMT5 Escrow Due amount 5 cycle old
API_ACCOUNTS.ACC_ESC_DUE_AMT_PD1,ACC_ESC_DUE_AMT_PD1 Escrow Due amount 1 cycle old paid
API_ACCOUNTS.ACC_ESC_DUE_AMT_PD2,ACC_ESC_DUE_AMT_PD2 Escrow Due amount 2 cycle old paid
API_ACCOUNTS.ACC_ESC_DUE_AMT_PD3,ACC_ESC_DUE_AMT_PD3 Escrow Due amount 3 cycle old paid
API_ACCOUNTS.ACC_ESC_DUE_AMT_PD4,ACC_ESC_DUE_AMT_PD4 Escrow Due amount 4 cycle old paid
API_ACCOUNTS.ACC_ESC_DUE_AMT_PD5,ACC_ESC_DUE_AMT_PD5 Escrow Due amount 5 cycle old paid
API_ACCOUNTS.ACC_ESC_DUE_AMT_PD_EXCESS,ACC_ESC_DUE_AMT_PD_EXCESS Total escrow amount paid against future due dates
API_ACCOUNTS.ACC_ESC_BAL_OPEN,ACC_ESC_BAL_OPEN Opening escrow balance (ITD)
API_ACCOUNTS.ACC_ESC_BAL,ACC_ESC_BAL Current posted escrow balance for the account
API_ACCOUNTS.ACC_ESC_BAL_PD,ACC_ESC_BAL_PD Escrow balance paid (ITD)
API_ACCOUNTS.ACC_ESC_BAL_ADJUST_PLUS,ACC_ESC_BAL_ADJUST_PLUS Positive adjustment escrow balance (ITD)
API_ACCOUNTS.ACC_ESC_BAL_ADJUST_MINUS,ACC_ESC_BAL_ADJUST_MINUS Negative adjustment escrow balance (ITD)
API_ACCOUNTS.ACC_NON_PERFORM_IND,ACC_NON_PERFORM_IND Indicates whether account is in non-performing state
API_ACCOUNTS.ACC_NON_PERFORM_TYPE_CD,ACC_NON_PERFORM_TYPE_CD Reference key to lookup Non-Performance types such as non-accrual  etc
API_ACCOUNTS.ACC_NON_PERFORM_INT_REBATE,ACC_NON_PERFORM_INT_REBATE Interest rebate computed when account gets into non-performing state
API_ACCOUNTS.ACC_PROM_END_DT,ACC_PROM_END_DT The date on which promotion ends
API_ACCOUNTS.ACC_PROM_PERIOD_TYPE_CD,ACC_PROM_PERIOD_TYPE_CD Promotion period type
API_ACCOUNTS.ACC_PROM_TOLERANCE_AMT,ACC_PROM_TOLERANCE_AMT Promotion tolerance amount checked against outstanding balance for promotion benefits
API_ACCOUNTS.ACC_FINAL_PMT_AMT,ACC_FINAL_PMT_AMT Final payment amount
API_ACCOUNTS.ACC_ADV_DRAW_END_DT,ACC_ADV_DRAW_END_DT The end date to draw advance for stage funded loans
API_ACCOUNTS.ACC_COUPON_FIRST_PMT_DT_CUR,ACC_COUPON_FIRST_PMT_DT_CUR The date on which first payment is expected on the re-ordered coupon book (Current) and it is used for converting accounts from other system
API_ACCOUNTS.ACC_COUPON_NOS_CUR,ACC_COUPON_NOS_CUR Number of coupons for order (Current) and it is used for converting accounts from other system
API_ACCOUNTS.ACC_COUPON_ORDER_BY_CUR,ACC_COUPON_ORDER_BY_CUR Identifies coupon ordered by (Current) and it is used for converting accounts from other system
API_ACCOUNTS.ACC_COUPON_ORDER_IND_CUR,ACC_COUPON_ORDER_IND_CUR Indicates whether the coupon has been re-ordered (Current) and it is used for converting accounts from other system
API_ACCOUNTS.ACC_COUPON_START_NO_CUR,ACC_COUPON_START_NO_CUR The starting number of the coupon (Current) and it is used for converting accounts from other system
API_ACCOUNTS.ACC_STATE_CD,ACC_STATE_CD Reference key to lookup state code and it is used for converting accounts from other system
API_ACCOUNTS.ACC_RATE_CHG_RSC_METHOD_CD,ACC_RATE_CHG_RSC_METHOD_CD Reference key to lookup Rate Change Reschedule Method and it is used for converting accounts from other system
API_ACCOUNTS.ACC_RATE_CHG_RSC_VALUE,ACC_RATE_CHG_RSC_VALUE The percentage value to be used to change the payment amount when rate changes on account and it is used for converting accounts from other system
API_ACCOUNTS.ACC_RATE_CHG_OCCURANCES_MAX,ACC_RATE_CHG_OCCURANCES_MAX The maximum number of rate change occurrences for the particular rate adjustment frequency and it is used for converting accounts from other system
API_ACCOUNTS.ACC_FLEXIBLE_REPAYMENT_IND,ACC_FLEXIBLE_REPAYMENT_IND Indicates Flexible Repayment option is allowed or not and it is used for converting accounts from other system
API_ACCOUNTS.ACC_REPAYMENT_TYPE_CD,ACC_REPAYMENT_TYPE_CD Reference key to lookup account repayment type and it is used for converting accounts from other system
API_ACCOUNTS.ACC_LOSS_RESERVE_PRO_IND,ACC_LOSS_RESERVE_PRO_IND Indicates if account has contributed to dealer loss reserve and it is used for converting accounts from other system
API_ACCOUNTS.ACC_PRODUCER_HOLDBACK_AMT,ACC_PRODUCER_HOLDBACK_AMT Stores the amount held back from dealer proceed on that account and it is used for converting accounts from other system
API_ACCOUNTS.ACC_PROM_CANCEL_DLQ_DAYS,ACC_PROM_CANCEL_DLQ_DAYS Stores the delinquency days after which the promotion is cancelled automatically and it is used for converting accounts from other system
API_ACCOUNTS.ACC_CRB_ACC_STATUS_CD,ACC_CRB_ACC_STATUS_CD Reference key to lookup credit bureau account status
API_ACCOUNTS.ACC_RECURRING_CRD_PMT_IND,ACC_RECURRING_CRD_PMT_IND Recurring Credit Payment Indicator
API_ACCOUNTS.ACC_RECURRING_CRD_PMT_AMT,ACC_RECURRING_CRD_PMT_AMT Recurring Credit Payment Amount
API_ACCOUNTS.ACC_CRD_START_DT,ACC_CRD_START_DT Account Credit Start Date
API_ACCOUNTS.ACC_IN_PROMOTION_IND,ACC_IN_PROMOTION_IND Indicates whether or not the account is in promotion and it is used for converting accounts from other system
API_ACCOUNTS.ACC_INT_AMT_ESTIMATED_CUR,ACC_INT_AMT_ESTIMATED_CUR Total current interest estimated amount for pre-compute loans and it is used for converting accounts from other system
API_ACCOUNTS.ACC_INDEX_RATE_ROUND_FACTOR_CD,ACC_INDEX_RATE_ROUND_FACTOR_CD Reference key to lookup index rate round factor
API_ACCOUNTS.ACC_COLLECT_INTEREST_IND,ACC_COLLECT_INTEREST_IND Indicates whether the interest has to be collected or not
API_ACCOUNTS.ACC_BOOK_NO,ACC_BOOK_NO Account Book Number and it is used for converting accounts from other system
API_ACCOUNTS.ACC_PAGE_NBR,ACC_PAGE_NBR Account Page Number and it is used for converting accounts from other system
API_ACCOUNTS.ACC_DEEDING_PAGE_NO,ACC_DEEDING_PAGE_NO Account Deeding Page Number and it is used for converting accounts from other system
API_ACCOUNTS.ACC_DEEDING_BOOK_NO,ACC_DEEDING_BOOK_NO Account Deeding Book Number and it is used for converting accounts from other system
API_ACCOUNTS.ACC_DEEDING_TRANSMITTAL_NO,ACC_DEEDING_TRANSMITTAL_NO Stores the Deeding Transmittal Number and it is used for converting accounts from other system
API_ACCOUNTS.ACC_MRTG_RECORDING_DT,ACC_MRTG_RECORDING_DT Stores the Mortgage Recording Date and it is used for converting accounts from other system
API_ACCOUNTS.ACC_DEED_RECORDING_DT,ACC_DEED_RECORDING_DT Stores the Deed Recording Date and it is used for converting accounts from other system
API_ACCOUNTS.ACC_DEED_INPUT_DT,ACC_DEED_INPUT_DT Stores the Deed Input Date and it is used for converting accounts from other system
API_ACCOUNTS.ACC_NOTE_TRANSMITTAL_NO,ACC_NOTE_TRANSMITTAL_NO Stores the Note Transmittal Number and it is used for converting accounts from other system
API_ACCOUNTS.ACC_CNCL_CSHOT_TRANSMITTAL_NBR,ACC_CNCL_CSHOT_TRANSMITTAL_NBR Cancel/Cashout Transmittal Number and it is used for converting accounts from other system
API_ACCOUNTS.ACC_RATE_CHG_OCCURANCES,ACC_RATE_CHG_OCCURANCES The number of times rate change has occurred for the particular rate adjustment frequency on account and it is used for converting accounts from other system
API_ACCOUNTS.ACC_RATE_CHG_PERIOD,ACC_RATE_CHG_PERIOD Stores the time or period between subsequent rate change based on rate adjustment frequency on account and it is used for converting accounts from other system
