key,description
API_ACCOUNT_BALANCES_AMORTIZE.ABA_APP_ORIG_SYS_XREF,ABA_APP_ORIG_SYS_XREF External Reference Number
API_ACCOUNT_BALANCES_AMORTIZE.ABA_TXN_TYPE_CD1,ABA_TXN_TYPE_CD1 Amortize transaction type code 1
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL1,ABA_BAL1 Total amount to be amortize for balance type 1
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_EARNED1,ABA_BAL_EARNED1 Amortize Amount earned for balance type 1
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_WRITEOFF1,ABA_BAL_WRITEOFF1 Amortize amount written-off for balance type 1
API_ACCOUNT_BALANCES_AMORTIZE.ABA_TXN_TYPE_CD2,ABA_TXN_TYPE_CD2 Amortize transaction type code 2
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL2,ABA_BAL2 Total amount to be amortize for balance type 2
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_EARNED2,ABA_BAL_EARNED2 Amortize Amount earned for balance type 2
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_WRITEOFF2,ABA_BAL_WRITEOFF2 Amortize amount written-off for balance type 2
API_ACCOUNT_BALANCES_AMORTIZE.ABA_TXN_TYPE_CD3,ABA_TXN_TYPE_CD3 Amortize transaction type code 3
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL3,ABA_BAL3 Total amount to be amortize for balance type 3
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_EARNED3,ABA_BAL_EARNED3 Amortize Amount earned for balance type 3
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_WRITEOFF3,ABA_BAL_WRITEOFF3 Amortize amount written-off for balance type 3
API_ACCOUNT_BALANCES_AMORTIZE.ABA_TXN_TYPE_CD4,ABA_TXN_TYPE_CD4 Amortize transaction type code 4
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL4,ABA_BAL4 Total amount to be amortize for balance type 4
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_EARNED4,ABA_BAL_EARNED4 Amortize Amount earned for balance type 4
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_WRITEOFF4,ABA_BAL_WRITEOFF4 Amortize amount written-off for balance type 4
API_ACCOUNT_BALANCES_AMORTIZE.ABA_TXN_TYPE_CD5,ABA_TXN_TYPE_CD5 Amortize transaction type code 5
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL5,ABA_BAL5 Total amount to be amortize for balance type 5
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_EARNED5,ABA_BAL_EARNED5 Amortize Amount earned for balance type 5
API_ACCOUNT_BALANCES_AMORTIZE.ABA_BAL_WRITEOFF5,ABA_BAL_WRITEOFF5 Amortize amount written-off for balance type 5
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_RATE1,ABA_FASB_RATE1 Interest rate for the FASB amortization calculation 1
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_BAL1,ABA_FASB_BAL1 Total FASB amortization balance 1
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_EFFECTIVE_BAL1,ABA_FASB_EFFECTIVE_BAL1 Total effective FASB amortization balance 1
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_RATE2,ABA_FASB_RATE2 Interest rate for the FASB amortization calculation 2
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_BAL2,ABA_FASB_BAL2 Total FASB amortization balance 2
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_EFFECTIVE_BAL2,ABA_FASB_EFFECTIVE_BAL2 Total effective FASB amortization balance 2
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_RATE3,ABA_FASB_RATE3 Interest rate for the FASB amortization calculation 3
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_BAL3,ABA_FASB_BAL3 Total FASB amortization balance 3
API_ACCOUNT_BALANCES_AMORTIZE.ABA_FASB_EFFECTIVE_BAL3,ABA_FASB_EFFECTIVE_BAL3 Total effective FASB amortization balance 3
