key,description
API_ACCOUNT_BKRP_HISTORY.CREATION_DATE,CREATION_DATE Standard Who
API_ACCOUNT_BKRP_HISTORY.CREATED_BY,CREATED_BY Standard Who
API_ACCOUNT_BKRP_HISTORY.ABH_ACC_STATUS_CD,ABH_ACC_STATUS_CD Account Status Code
API_ACCOUNT_BKRP_HISTORY.ABH_CURRENT_IND,ABH_CURRENT_IND Current Indicator
API_ACCOUNT_BKRP_HISTORY.ABH_PAYMENT_HISTORY,ABH_PAYMENT_HISTORY Payment History
API_ACCOUNT_BKRP_HISTORY.ABH_ACC_CRB_ACC_STATUS_CD,ABH_ACC_CRB_ACC_STATUS_CD CRB Account Status
API_ACCOUNT_BKRP_HISTORY.ABH_BILLING_DATE,ABH_BILLING_DATE Billing Date
API_ACCOUNT_BKRP_HISTORY.ABH_CURRENT_BAL_AMT,ABH_CURRENT_BAL_AMT Current balance amount
API_ACCOUNT_BKRP_HISTORY.ABH_DOFD_DT,ABH_DOFD_DT Date of First Delinquency
API_ACCOUNT_BKRP_HISTORY.ABH_CIIC_CODE,ABH_CIIC_CODE CIIC Code
API_ACCOUNT_BKRP_HISTORY.ABH_AMT_PAST_DUE,ABH_AMT_PAST_DUE Amount Past Due
API_ACCOUNT_BKRP_HISTORY.ABH_MONTHLY_PMT_AMT,ABH_MONTHLY_PMT_AMT Monthly Payment Amount
API_ACCOUNT_BKRP_HISTORY.ABH_ORIG_SYS_XREF,ABH_ORIG_SYS_XREF Unique Identification Number from the Legacy System
