key,description
API_ASSETS.ASE_APP_ORIG_SYS_XREF,ASE_APP_ORIG_SYS_XREF Reference key to asset/collateral of legacy system
API_ASSETS.ASE_CONDITION_CD,ASE_CONDITION_CD The condition of the asset  such as Excellent  Good  Poor
API_ASSETS.AVL_VALUATION_SOURCE_CD,AVL_VALUATION_SOURCE_CD Source of the valuation  such as NADN - NADA New  BRKR - Broker on which this valuation is based
API_ASSETS.ATA_VALUE5,ATA_VALUE5 The value of the asset tracking attribute 5
API_ASSETS.ATR_AAT_TYPE5,ATR_AAT_TYPE5 Reference key to the asset attribute type 5
API_ASSETS.AVL_ADDONS_VAL,AVL_ADDONS_VAL Valuation of the addons that are with the asset
API_ASSETS.ATA_FTA_TABLE_ATTRIBUTE5,ATA_FTA_TABLE_ATTRIBUTE5 Name of the asset tracking attribute parameter 5
API_ASSETS.ASE_LOT,ASE_LOT The asset lot number
API_ASSETS.AVL_CURRENCY_USAGE_VAL,AVL_CURRENCY_USAGE_VAL Currency usage value
API_ASSETS.ASE_PRIMARY_IND,ASE_PRIMARY_IND Indicator specifying whether the asset is the primary asset or not
API_ASSETS.ASE_ASSET_CLASS_CD,ASE_ASSET_CLASS_CD The asset class  such as New  Used
API_ASSETS.ASE_AST_TYPE,ASE_AST_TYPE The type of the asset  such as Vehicle  Home  Goods
API_ASSETS.ASE_ASB_TYPE,ASE_ASB_TYPE The sub type of the asset  such as Car  Single_Fam  Gen_Equipment
API_ASSETS.ASE_IDENTIFICATION_NBR,ASE_IDENTIFICATION_NBR The unique identification number for the asset for example  VIN for a vehicle
API_ASSETS.ASE_REGISTRATION_NBR,ASE_REGISTRATION_NBR The registration number of the asset
API_ASSETS.ASE_ASSET_STATUS_CD,ASE_ASSET_STATUS_CD The status of the asset  such as Active  New  Undefined
API_ASSETS.ASE_YEAR,ASE_YEAR The calendar year in which the asset was created
API_ASSETS.ASE_MAKE,ASE_MAKE The make of the asset  such as Mercedes  Volvo
API_ASSETS.ASE_MODEL,ASE_MODEL The model of the asset  such as Camry  Jetta
API_ASSETS.ASE_BODY,ASE_BODY The asset body type such as 2-door  4-door
API_ASSETS.ASE_ADDRESS1,ASE_ADDRESS1 Address line 1 of the asset
API_ASSETS.ASE_ADDRESS2,ASE_ADDRESS2 Address line 2 of the asset
API_ASSETS.ASE_ZIP,ASE_ZIP The zip code component of the asset address
API_ASSETS.ASE_CITY,ASE_CITY The city component of the asset address
API_ASSETS.ASE_STATE_CD,ASE_STATE_CD State component of the asset address  such as MN - Minnesota  IA - Iowa
API_ASSETS.ASE_ZIP_EXTN,ASE_ZIP_EXTN The zip code extension component of the asset address
API_ASSETS.ASE_COUNTRY_CD,ASE_COUNTRY_CD The country of the asset address
API_ASSETS.ASE_COUNTY_CD,ASE_COUNTY_CD The county portion of the asset address
API_ASSETS.ASE_USAGE_START,ASE_USAGE_START The starting usage figure for the asset
API_ASSETS.ASE_USAGE_BASE,ASE_USAGE_BASE The base amount of usage for the asset
API_ASSETS.ASE_USAGE_EXTRA,ASE_USAGE_EXTRA The amount of extra usage of the asset
API_ASSETS.ASE_USAGE_TOTAL,ASE_USAGE_TOTAL The total usage of the asset
API_ASSETS.ASE_USAGE_CHARGE,ASE_USAGE_CHARGE Rate of charge (US $) per usage unit of the asset
API_ASSETS.AVL_VALUATION_DT,AVL_VALUATION_DT Date on which this valuation was carried out
API_ASSETS.AVL_VALUATION_EDITION,AVL_VALUATION_EDITION Edition of the valuation source on which this valuation is based
API_ASSETS.AVL_VALUATION_SUPPLEMENT,AVL_VALUATION_SUPPLEMENT Supplement of the valuation source on which this valuation is based
API_ASSETS.AVL_USAGE,AVL_USAGE The number of usage units accrued on the asset at the time of valuation
API_ASSETS.AVL_RETAIL_VAL,AVL_RETAIL_VAL Retail valuation for the asset
API_ASSETS.AVL_WHOLESALE_VAL,AVL_WHOLESALE_VAL Wholesale valuation of the asset
API_ASSETS.AVL_USAGE_VAL,AVL_USAGE_VAL The monetary value of the accrued usage units at the time of valuation
