key,description
API_ASSET_CHARGE_MATRIX.ACX_ORIG_SYS_XREF,ACX_ORIG_SYS_XREF External Refeence number
API_ASSET_CHARGE_MATRIX.ACX_AST_TYPE,ACX_AST_TYPE Asset Sub Type
API_ASSET_CHARGE_MATRIX.ACX_ASB_TYPE,ACX_ASB_TYPE Asset Type
API_ASSET_CHARGE_MATRIX.ACX_UNITS_FROM,ACX_UNITS_FROM Starting Units from which the measument starts
API_ASSET_CHARGE_MATRIX.ACX_CHARGE_PER_UNIT,ACX_CHARGE_PER_UNIT Changes applicable per unit.
API_ASSET_CHARGE_MATRIX.ACX_CHARGE_TYPE_CD,ACX_CHARGE_TYPE_CD Charge type code - Base Cycle  Life
API_ASSET_CHARGE_MATRIX.ACX_ENABLED_IND,ACX_ENABLED_IND Enabled Indicator
API_ASSET_CHARGE_MATRIX.ACX_AGREEMENT_TYPE_CD,ACX_AGREEMENT_TYPE_CD Agreement type Code - Usage/Rental/Undefined.
API_ASSET_CHARGE_MATRIX.ACX_USAGE_BILL_CYCLE_CD,ACX_USAGE_BILL_CYCLE_CD Frequency code at which usage bill has be calculated.
API_ASSET_CHARGE_MATRIX.CREATED_BY,CREATED_BY Standard Who
API_ASSET_CHARGE_MATRIX.CREATION_DATE,CREATION_DATE Standard Who
