OFSLL Field Mapping for Conversion,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Source Details,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Column Name,Data Type,Size,Required ?,Hint,Refer Lookup,Hint,Refer Lookup,Source Table Name,Source Field Name,Data Type,Size,Loans,Lease,Line
BSL_APP_ORIG_SYS_XREF,VARCHAR2,,N,  Unique Identification Number from the Legacy System,,,,,,,,Y,Y,
BSL_ORGANIZATION_TYPE_CD,VARCHAR2,,N,  Stores Organization Type,ORGANIZATION_TYPE_CD,,,,,,,N,N,
BSL_LEGAL_NAME,VARCHAR2,,N,  Stores the Legal Name,,,,,,,,N,N,
BSL_BUSINESS_NAME,VARCHAR2,,N,  Stores the Business Name,,,,,,,,N,N,
BSL_TAX_ID,VARCHAR2,,N,  Tax ID,,,,,,,,N,N,
BSL_PERC_OWNERSHIP,NUMBER,,Y,  Stores the Percentage Ownership,,,,,,,,Y,Y,
BSL_NO_OF_EMPLOYEES,NUMBER,,Y,  Stores Number of Employees,,,,,,,,Y,Y,
BSL_NAICS_CODE,VARCHAR2,,N,  Stores NAICS Code,,,,,,,,N,N,
BSL_ADDRESS_NBR,VARCHAR2,,N,  Address Number,,,,,,,,N,N,
BSL_ADDRESS1,VARCHAR2,,N,  Stores the First Line of Address,,,,,,,,N,N,
BSL_CITY,VARCHAR2,,Y,  City Name,,,,,,,,Y,Y,
BSL_STATE_CD,VARCHAR2,,Y,  State Name,STATE_CD,,,,,,,Y,Y,
BSL_ZIP,VARCHAR2,,Y,  Zip Code,,,,,,,,Y,Y,
BSL_COUNTRY_CD,VARCHAR2,,Y,  Country Name,COUNTRY_CD,,,,,,,Y,Y,
BSL_POSTAL_ADDRESS_TYPE_CD,VARCHAR2,,N,  Postal Address Type Code,POSTAL_ADDRESS_TYPE_CD,,,,,,,Y,Y,
BSL_PHONE,NUMBER,,N,  Phone Number,,,,,,,,Y,Y,
BSL_PHONE_ISD_CD,VARCHAR2,,N,Phone ISD code,PHONE_ISD_CD,,,,,,,N,N,
BSL_ZIP_EXTN,VARCHAR2,,N,Zip Code Extension for Business applicant affiliates,,,,,,,,N,N,
BSL_ADDRESS2,VARCHAR2,,N,Second line of Address,,,,,,,,N,N,
