key,description
API_BUSINESS_APPL_LIABILITIES.BSB_APP_ORIG_SYS_XREF,BSB_APP_ORIG_SYS_XREF   Unique Identification Number from the Legacy System
API_BUSINESS_APPL_LIABILITIES.BSB_LIABILITY_TYPE_CD,BSB_LIABILITY_TYPE_CD   Stores Liability Type Code
API_BUSINESS_APPL_LIABILITIES.BSB_AMT,BSB_AMT   Stores the Amount
API_BUSINESS_APPL_LIABILITIES.BSB_FREQ_CD,BSB_FREQ_CD   Stores the Frequency Code
API_BUSINESS_APPL_LIABILITIES.BSB_CTL_ACCT_BALANCE,BSB_CTL_ACCT_BALANCE   Stores the Account Balance
API_BUSINESS_APPL_LIABILITIES.BSB_CTL_ACCT_TYPE,BSB_CTL_ACCT_TYPE   Stores Account Type
API_BUSINESS_APPL_LIABILITIES.BSB_INCLUDE_IND,BSB_INCLUDE_IND   Include Indicator
API_BUSINESS_APPL_LIABILITIES.BSB_ACTUAL_MTHLY_AMT,BSB_ACTUAL_MTHLY_AMT   Stores the Actual Monthly Amount
API_BUSINESS_APPL_LIABILITIES.BSB_STATED_MTHLY_AMT,BSB_STATED_MTHLY_AMT   Stores the Stated Monthly Amount
API_BUSINESS_APPL_LIABILITIES.BSB_COMMENT,BSB_COMMENT Comments on Business liabilities
API_BUSINESS_APPL_LIABILITIES.BSB_CUR_CURRENCY_CODE,BSB_CUR_CURRENCY_CODE Reference key to Currency for Business liabilities
API_BUSINESS_APPL_LIABILITIES.BSB_CURRENCY_AMT,BSB_CURRENCY_AMT Stores the amount in local currency
