key,description
API_BUSINESS_APPL_PARTNERS.BSP_APP_ORIG_SYS_XREF,BSP_APP_ORIG_SYS_XREF   Unique Identification Number from the Legacy System
API_BUSINESS_APPL_PARTNERS.BSP_FIRST_NAME,BSP_FIRST_NAME   Stores the First Name
API_BUSINESS_APPL_PARTNERS.BSP_LAST_NAME,BSP_LAST_NAME   Stores the Last Name
API_BUSINESS_APPL_PARTNERS.BSP_SSN,BSP_SSN   Stores the SSN Number
API_BUSINESS_APPL_PARTNERS.BSP_BIRTH_DT,BSP_BIRTH_DT   Stores the Birth Date
API_BUSINESS_APPL_PARTNERS.BSP_PERC_OWNERSHIP,BSP_PERC_OWNERSHIP   Stores the Percentage of Ownership
API_BUSINESS_APPL_PARTNERS.BSP_NETWORTH,BSP_NETWORTH   Stores Net worth
API_BUSINESS_APPL_PARTNERS.BSP_GROSS_INCOME,BSP_GROSS_INCOME   Stores Gross Income
API_BUSINESS_APPL_PARTNERS.BSP_PHONE,BSP_PHONE   Phone Number
API_BUSINESS_APPL_PARTNERS.BSP_ADDRESS_NBR,BSP_ADDRESS_NBR   Address Number
API_BUSINESS_APPL_PARTNERS.BSP_ADDRESS1,BSP_ADDRESS1   First line of Address
API_BUSINESS_APPL_PARTNERS.BSP_CITY,BSP_CITY   City Name
API_BUSINESS_APPL_PARTNERS.BSP_STATE_CD,BSP_STATE_CD   State Code
API_BUSINESS_APPL_PARTNERS.BSP_ZIP,BSP_ZIP   Zip Code
API_BUSINESS_APPL_PARTNERS.BSP_COUNTRY_CD,BSP_COUNTRY_CD   Country Name
API_BUSINESS_APPL_PARTNERS.BSP_DIRECTOR_IND,BSP_DIRECTOR_IND Indicates whether the director is partner
API_BUSINESS_APPL_PARTNERS.BSP_PHONE_ISD_CD,BSP_PHONE_ISD_CD Phone ISD code
API_BUSINESS_APPL_PARTNERS.BSP_LANGUAGE_CD,BSP_LANGUAGE_CD Reference key to lookup language such as English
API_BUSINESS_APPL_PARTNERS.BSP_MIDDLE_NAME,BSP_MIDDLE_NAME Business Partner Middle Name
API_BUSINESS_APPL_PARTNERS.BSP_BIRTH_PLACE,BSP_BIRTH_PLACE Partner Birth Place
API_BUSINESS_APPL_PARTNERS.BSP_TITLE,BSP_TITLE Business Partners Title 
API_BUSINESS_APPL_PARTNERS.BSP_RACE_NATIONAL_ORIGIN_CD,BSP_RACE_NATIONAL_ORIGIN_CD Race  National and Origin Code
API_BUSINESS_APPL_PARTNERS.BSP_EMAIL,BSP_EMAIL Email address of the business partner
API_BUSINESS_APPL_PARTNERS.BSP_PHONE_EXTN,BSP_PHONE_EXTN Business Partner Phone Extension
API_BUSINESS_APPL_PARTNERS.BSP_ADDRESS2,BSP_ADDRESS2 Second line of Address
API_BUSINESS_APPL_PARTNERS.BSP_ZIP_EXTN,BSP_ZIP_EXTN Zip Code Extension for Business applicants Partner 
API_BUSINESS_APPL_PARTNERS.BSP_PREFIX_CD,BSP_PREFIX_CD Reference key to lookup business applicant partner Prefix Code
API_BUSINESS_APPL_PARTNERS.BSP_PERMISSION_TO_TEXT_IND,BSP_PERMISSION_TO_TEXT_IND Indicates Business applicant  partner permission to text
API_BUSINESS_APPL_PARTNERS.BSP_PERMISSION_TO_CALL_IND,BSP_PERMISSION_TO_CALL_IND Indicates Business applicant partner permission to call
