key,description
API_BUSINESS_APPL_TELECOMS.BST_APP_ORIG_SYS_XREF,BST_APP_ORIG_SYS_XREF   Unique Identification Number from the Legacy System
API_BUSINESS_APPL_TELECOMS.BST_TELECOM_TYPE_CD,BST_TELECOM_TYPE_CD   Stores the Telecom Type Code
API_BUSINESS_APPL_TELECOMS.BST_PHONE,BST_PHONE   Stores the Phone Number
API_BUSINESS_APPL_TELECOMS.BST_CURRENT_IND,BST_CURRENT_IND   Indicates if the Telecom Current Indicator
API_BUSINESS_APPL_TELECOMS.BST_PHONE_ISD_CD,BST_PHONE_ISD_CD Phone ISD code
API_BUSINESS_APPL_TELECOMS.BST_PHONE_EXTN,BST_PHONE_EXTN Business Telecom Phone Extension
API_BUSINESS_APPL_TELECOMS.BST_CALL_START_TIME_PERIOD_CD,BST_CALL_START_TIME_PERIOD_CD Best call start time period code for Business Telecoms
API_BUSINESS_APPL_TELECOMS.BST_TIME_ZONE_CD,BST_TIME_ZONE_CD Stores the Timezone of the Business  telecoms
API_BUSINESS_APPL_TELECOMS.BST_CALL_END_TIME,BST_CALL_END_TIME Best call end time for Business Telecoms
API_BUSINESS_APPL_TELECOMS.BST_CALL_START_TIME,BST_CALL_START_TIME Best call end time period code for Business Telecoms
API_BUSINESS_APPL_TELECOMS.BST_BEST_CALL_DAY_CD,BST_BEST_CALL_DAY_CD Applicant Telecom Best Day To Call Code
API_BUSINESS_APPL_TELECOMS.BST_CALL_END_TIME_PERIOD_CD,BST_CALL_END_TIME_PERIOD_CD Best call end time period code for Business Telecoms
API_BUSINESS_APPL_TELECOMS.BST_CALL_END_TIME,BST_CALL_END_TIME Best call end time for Business Telecoms
API_BUSINESS_APPL_TELECOMS.BST_PERMISSION_TO_TEXT_IND,BST_PERMISSION_TO_TEXT_IND Indicates Business applicant telecom permission to text
API_BUSINESS_APPL_TELECOMS.BST_PERMISSION_TO_CALL_IND,BST_PERMISSION_TO_CALL_IND Indicates Business Applicant telecom permission to call
API_BUSINESS_APPL_TELECOMS.BST_CALL_START_TIME_PERIOD_CD,BST_CALL_START_TIME_PERIOD_CD Best call start time period code for Business Telecoms
API_BUSINESS_APPL_TELECOMS.BST_CALL_START_TIME,BST_CALL_START_TIME Best call end time period code for Business Telecoms
API_BUSINESS_APPL_TELECOMS.BST_BEST_CALL_DAY_CD,BST_BEST_CALL_DAY_CD Applicant Telecom Best Day To Call Code
API_BUSINESS_APPL_TELECOMS.BST_TIME_ZONE_CD,BST_TIME_ZONE_CD Stores the Timezone of the Business  telecoms
API_BUSINESS_APPL_TELECOMS.BST_CALL_END_TIME_PERIOD_CD,BST_CALL_END_TIME_PERIOD_CD Best call end time period code for Business Telecoms
