key,description
API_BUSINESS_CREDIT_SCORE.BCS_COMMENTS,BCS_COMMENTS Comments Regarding the Credit Score
API_BUSINESS_CREDIT_SCORE.BCS_CREDIT_SCORE,BCS_CREDIT_SCORE Credit Score From the Credit Bureau
API_BUSINESS_CREDIT_SCORE.BCS_CREDIT_SCORE_RECEIVED_DT,BCS_CREDIT_SCORE_RECEIVED_DT Date of which Credit Score received
API_BUSINESS_CREDIT_SCORE.BCS_CREDIT_SOURCE_CD,BCS_CREDIT_SOURCE_CD Name of The third Party Credit Bureau
API_BUSINESS_CREDIT_SCORE.BCS_ORIG_SYS_XREF,BCS_ORIG_SYS_XREF Reference key to application id of legacy system
API_BUSINESS_CREDIT_SCORE.BCS_REASON_CD,BCS_REASON_CD Reference to Reason Code
API_BUSINESS_CREDIT_SCORE.BCS_REFERENCE_NBR,BCS_REFERENCE_NBR Reference Number
API_BUSINESS_CREDIT_SCORE.BCS_TXN_DT,BCS_TXN_DT Date of Tranaction Date
API_BUSINESS_CREDIT_SCORE.CREATED_BY,CREATED_BY Standard Who
API_BUSINESS_CREDIT_SCORE.CREATION_DATE,CREATION_DATE Standard Who
API_BUSINESS_CREDIT_SCORE.LAST_UPDATED_BY,LAST_UPDATED_BY Standard Who
API_BUSINESS_CREDIT_SCORE.LAST_UPDATE_DATE,LAST_UPDATE_DATE Standard Who
