OFSLL Field Mapping for Conversion,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Source Details,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Column Name,Data Type,Size,Required ?,Hint,Refer Lookup,Hint,Refer Lookup,Source Table Name,Source Field Name,Data Type,Size,Loans,Lease,Line
ACD_APP_ORIG_SYS_XREF,VARCHAR2,,N,Reference key to application id of legacy system,,,,,,,,Y,Y,Y
ACD_ITEMIZATION_TCD_CODE1,VARCHAR2,,N,Reference Key to itemization transaction,,,,,,,,Y,Y,Y
ACD_VAL1,NUMBER,,N,The value associated with this itemization transaction,,,,,,,,N,N,N
ACD_ITEMIZATION_TCD_CODE2,VARCHAR2,,N,Reference Key to itemization transaction,,,,,,,,N,N,N
ACD_VAL2,NUMBER,,N,The value associated with this itemization transaction,,,,,,,,N,N,N
ACD_ITEMIZATION_TCD_CODE3,VARCHAR2,,N,Reference Key to itemization transaction,,,,,,,,N,N,N
ACD_VAL3,NUMBER,,N,The value associated with this itemization transaction,,,,,,,,N,N,N
ACD_ITEMIZATION_TCD_CODE4,VARCHAR2,,N,Reference Key to itemization transaction,,,,,,,,N,N,N
ACD_VAL4,NUMBER,,N,The value associated with this itemization transaction,,,,,,,,N,N,N
ACD_ITEMIZATION_TCD_CODE5,VARCHAR2,,N,Reference Key to itemization transaction,,,,,,,,N,N,N
ACD_VAL5,NUMBER,,N,The value associated with this itemization transaction,,,,,,,,N,N,N
ACD_ITEMIZATION_TCD_CODE6,VARCHAR2,,N,Reference Key to itemization transaction,,,,,,,,N,N,N
ACD_VAL6,NUMBER,,N,The value associated with this itemization transaction,,,,,,,,N,N,N
ACD_ITEMIZATION_TCD_CODE7,VARCHAR2,,N,Reference Key to itemization transaction,,,,,,,,N,N,N
ACD_VAL7,NUMBER,,N,The value associated with this itemization transaction,,,,,,,,N,N,N
