OFSLL Field Mapping for Conversion,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Source Details,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Column Name,Data Type,Size,Required ?,Hint,Refer Lookup,Hint,Refer Lookup,Source Table Name,Source Field Name,Data Type,Size,Loans,Lease,Line
APL_APP_ORIG_SYS_XREF,VARCHAR2,,N,Original system cross reference for application,,,,,,,,Y,Y,Y
APL_RELATION_TYPE_CD,VARCHAR2,,N,Relation of applicant such as primary  spouse  secondary  cosigner,RELATION_TYPE_CD,,,,,,,Y,Y,Y
APL_FIRST_NAME,VARCHAR2,,N,First name of applicant,,,,,,,,Y,Y,Y
APL_MIDDLE_NAME,VARCHAR2,,N,Applicant middle name,,,,,,,,N,N,N
APL_LAST_NAME,VARCHAR2,,N,Applicant last name,,,,,,,,Y,Y,Y
APL_GENERATION_CD,VARCHAR2,,N,Applicant generation such as Jr  Sr  III,GENERATION_CD,,,,,,,Y,Y,Y
APL_SSN,NUMBER,,N,Nine digit Social Security number,,,,,,,,Y,Y,Y
APL_BIRTH_DT,DATE,,N,Birth date of applicant,,,,,,,,Y,Y,Y
APL_GENDER_CD,VARCHAR2,,N,Gender of applicant  M=male  F=female,GENDER_CD,,,,,,,Y,Y,Y
APL_LANGUAGE_CD,VARCHAR2,,N,Primary language of applicant such as E (English)  S (Spanish),LANGUAGE_CD,,,,,,,Y,Y,Y
APL_MARITAL_STATUS_CD,VARCHAR2,,N,Applicant marital status such as M (Married)  S (Single),MARITAL_STATUS_CD,,,,,,,N,N,N
APL_EMAIL_ADDRESS1,VARCHAR2,,N,Applicant email address,,,,,,,,N,N,N
APL_CLASS_TYPE_CD,VARCHAR2,,N,Applicant class as defined by Company such as employee,APL_CUS_CLASS_TYPE_CD,,,,,,,Y,Y,Y
APL_CRB_ECOA_CD,VARCHAR2,,N,Applicant ECOA code on the liability such as individual  joint contractual liability etc,CRB_ECOA_CD,,,,,,,N,N,N
APL_RACE_NATIONAL_ORIGIN_CD,VARCHAR2,,N,Applicant national origin,RACE_NATIONAL_ORIGIN_CD,,,,,,,N,N,N
APA_ADDRESS_NBR,VARCHAR2,,N,Numeric portion of address location,,,,,,,,Y,Y,Y
APA_STREET_NAME,VARCHAR2,,N,Name of street where address is located,,,,,,,,N,N,N
