key,description
API_CUSTOMERS_PRIMARY.ALT_VALUE4,ALT_VALUE4 Value4
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE5,ALT_FTA_TABLE_ATTRIBUTE5 Name of the unit tracking attribute parameter5
API_CUSTOMERS_PRIMARY.ALT_VALUE5,ALT_VALUE5 Value5
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE6,ALT_FTA_TABLE_ATTRIBUTE6 Name of the unit tracking attribute parameter6
API_CUSTOMERS_PRIMARY.ALT_VALUE6,ALT_VALUE6 Value6
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE7,ALT_FTA_TABLE_ATTRIBUTE7 Name of the unit tracking attribute parameter7
API_CUSTOMERS_PRIMARY.ALT_VALUE7,ALT_VALUE7 Value7
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE8,ALT_FTA_TABLE_ATTRIBUTE8 Name of the unit tracking attribute parameter8
API_CUSTOMERS_PRIMARY.ALT_VALUE8,ALT_VALUE8 Value8
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE9,ALT_FTA_TABLE_ATTRIBUTE9 Name of the unit tracking attribute parameter9
API_CUSTOMERS_PRIMARY.ALT_VALUE9,ALT_VALUE9 Value9
API_CUSTOMERS_PRIMARY.ALT_FTA_TABLE_ATTRIBUTE10,ALT_FTA_TABLE_ATTRIBUTE10 Name of the unit tracking attribute parameter10
API_CUSTOMERS_PRIMARY.ALT_VALUE10,ALT_VALUE10 Value10
API_CUSTOMERS_PRIMARY.APL_APP_ORIG_SYS_XREF,APL_APP_ORIG_SYS_XREF Original system cross reference for application
API_CUSTOMERS_PRIMARY.APL_FIRST_NAME,APL_FIRST_NAME First name of applicant
API_CUSTOMERS_PRIMARY.APL_MIDDLE_NAME,APL_MIDDLE_NAME Applicant middle name
API_CUSTOMERS_PRIMARY.APL_LAST_NAME,APL_LAST_NAME Applicant last name
API_CUSTOMERS_PRIMARY.APL_GENERATION_CD,APL_GENERATION_CD Applicant generation such as Jr  Sr  III
API_CUSTOMERS_PRIMARY.APL_SSN,APL_SSN Nine digit Social Security number
API_CUSTOMERS_PRIMARY.APL_BIRTH_DT,APL_BIRTH_DT Birth date of applicant
API_CUSTOMERS_PRIMARY.APL_GENDER_CD,APL_GENDER_CD Gender of applicant  M=male  F=female
API_CUSTOMERS_PRIMARY.APL_LANGUAGE_CD,APL_LANGUAGE_CD Primary language of applicant such as E (English)  S (Spanish)
API_CUSTOMERS_PRIMARY.APL_MARITAL_STATUS_CD,APL_MARITAL_STATUS_CD Applicant marital status such as M (Married)  S (Single)
API_CUSTOMERS_PRIMARY.APL_EMAIL_ADDRESS1,APL_EMAIL_ADDRESS1 Applicant email address
API_CUSTOMERS_PRIMARY.APL_CLASS_TYPE_CD,APL_CLASS_TYPE_CD Applicant class as defined by Company such as employee
API_CUSTOMERS_PRIMARY.APL_CRB_ECOA_CD,APL_CRB_ECOA_CD Applicant ECOA code on the liability such as individual  joint contractual liability etc
API_CUSTOMERS_PRIMARY.APL_RACE_NATIONAL_ORIGIN_CD,APL_RACE_NATIONAL_ORIGIN_CD Applicant national origin
API_CUSTOMERS_PRIMARY.APA_ADDRESS_NBR,APA_ADDRESS_NBR Numeric portion of address location
API_CUSTOMERS_PRIMARY.APA_STREET_NAME,APA_STREET_NAME Name of street where address is located
API_CUSTOMERS_PRIMARY.APA_APT_STE_NBR,APA_APT_STE_NBR Apartment or suite number of address
API_CUSTOMERS_PRIMARY.APA_ADDRESS1,APA_ADDRESS1 First line of address for this location
API_CUSTOMERS_PRIMARY.APA_ADDRESS2,APA_ADDRESS2 Second line of address for this location
API_CUSTOMERS_PRIMARY.APA_ZIP,APA_ZIP 5 Digit Zip Code of applicant address
API_CUSTOMERS_PRIMARY.APA_CITY,APA_CITY City name of address
API_CUSTOMERS_PRIMARY.APA_STATE_CD,APA_STATE_CD Name of state where address is located
API_CUSTOMERS_PRIMARY.APA_ZIP_EXTN,APA_ZIP_EXTN Last 4 digits of Zip Code of applicant address
API_CUSTOMERS_PRIMARY.APA_COUNTRY_CD,APA_COUNTRY_CD Stores country code for PRIMARY applicant address
API_CUSTOMERS_PRIMARY.APA_PHONE,APA_PHONE The phone number at the address
API_CUSTOMERS_PRIMARY.APA_OWNERSHIP_CD,APA_OWNERSHIP_CD Indicates if applicant owns or rents property
API_CUSTOMERS_PRIMARY.APA_LOCATION,APA_LOCATION Identifies MSA (metropolitan statistical area) location
API_CUSTOMERS_PRIMARY.APA_BLOCK,APA_BLOCK Identifies census tract/block number of address
API_CUSTOMERS_PRIMARY.APA_COMMENT,APA_COMMENT Comments about applicant address
API_CUSTOMERS_PRIMARY.APE_NAME,APE_NAME Name of employer
API_CUSTOMERS_PRIMARY.APE_TITLE,APE_TITLE The actual name of applicant position at employment
API_CUSTOMERS_PRIMARY.APE_OCCUPATION_CD,APE_OCCUPATION_CD Occupation of applicant such as professional
API_CUSTOMERS_PRIMARY.APE_ADDRESS1,APE_ADDRESS1 First line of address for this location of employment
API_CUSTOMERS_PRIMARY.APE_ADDRESS1,APE_ADDRESS1 First line of address for this location of employment
