key,description
API_CUSTOMER_CREDIT_SCORE.CREATED_BY,CREATED_BY Standard Who
API_CUSTOMER_CREDIT_SCORE.CREATION_DATE,CREATION_DATE Standard Who
API_CUSTOMER_CREDIT_SCORE.CSC_COMMENTS,CSC_COMMENTS Comments Regarding the Credit Score
API_CUSTOMER_CREDIT_SCORE.CSC_CREDIT_SCORE,CSC_CREDIT_SCORE Credit Score
API_CUSTOMER_CREDIT_SCORE.CSC_CREDIT_SCORE_RECEIVED_DT,CSC_CREDIT_SCORE_RECEIVED_DT Received Date
API_CUSTOMER_CREDIT_SCORE.CSC_CREDIT_SOURCE_CD,CSC_CREDIT_SOURCE_CD Reference to Credit Source code
API_CUSTOMER_CREDIT_SCORE.CSC_ORIG_SYS_XREF,CSC_ORIG_SYS_XREF Reference key to application id of legacy system
API_CUSTOMER_CREDIT_SCORE.CSC_REASON_CD,CSC_REASON_CD Reference to Reason Code
API_CUSTOMER_CREDIT_SCORE.CSC_REFERENCE_NBR,CSC_REFERENCE_NBR Reference Number
API_CUSTOMER_CREDIT_SCORE.CSC_RELATION_TYPE_CD,CSC_RELATION_TYPE_CD Reference to Relationship Type code
API_CUSTOMER_CREDIT_SCORE.CSC_TXN_DT,CSC_TXN_DT Transaction date
API_CUSTOMER_CREDIT_SCORE.LAST_UPDATED_BY,LAST_UPDATED_BY Standard Who
API_CUSTOMER_CREDIT_SCORE.LAST_UPDATE_DATE,LAST_UPDATE_DATE Standard Who
