OFSLL Field Mapping for Conversion,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Source Details,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Column Name,Data Type,Size,Required ?,Hint,Refer Lookup,Hint,Refer Lookup,Source Table Name,Source Field Name,Data Type,Size,Loans,Lease,Line
PDC_APP_ORIG_SYS_XREF,VARCHAR2,,N,Reference key to accounts id of legacy system and it is used for converting accounts from other system,,,,,,,,Y,Y,
PDC_STATUS_CD,VARCHAR2,,N,PDC status like OPEN PROCESSED VOID,,,,,,,,Y,Y,
PDC_CHECK_NBR,NUMBER,,N,PDC check number,,,,,,,,Y,Y,
PDC_CHECK_DT,DATE,,N,PDC check date,,,,,,,,N,N,
PDC_CHECK_AMT,NUMBER,,N,PDC check amount,,,,,,,,Y,Y,
PDC_BANK_ROUTING_NBR,VARCHAR2,,N,Drawer Bank Routing number,,,,,,,,Y,Y,
PDC_ACCOUNT_TYPE_CD,VARCHAR2,,N,PDC account type like SAVINGS CHECKING,,,,,,,,N,N,
PDC_ACCOUNT_NBR,VARCHAR2,,N,Drawer Bank Account Number,,,,,,,,Y,Y,
PDC_BANK_NAME,VARCHAR2,,N,Drawer Bank Name,,,,,,,,Y,Y,
PDC_BANK_BRANCH_NAME,VARCHAR2,,N,Drawer Bank Branch Name,,,,,,,,Y,Y,
PDC_DOCKET_CODE,VARCHAR2,,N,Docket code where the cheques are physically placed by the lending institution,,,,,,,,N,N,
PDC_COMMENTS,VARCHAR2,,N,comments,,,,,,,,N,N,
CREATED_BY,VARCHAR2,,Y,Standard Who,,,,,,,,Y,Y,Y
PDC_TYPE_CD,VARCHAR2,,N,PDC purpose like SECURITY PAYMENT,,,,,,,,Y,Y,Y
CREATION_DATE,DATE,,Y,Standard Who,,,,,,,,Y,Y,Y
