key,description
API_SUBVENTIONS.SBV_APP_ORIG_SYS_XREF,SBV_APP_ORIG_SYS_XREF Reference key to application id of legacy system
API_SUBVENTIONS.SBV_SBP_CODE,SBV_SBP_CODE Stores the Subvention plan code
API_SUBVENTIONS.SBV_SBP_DESC,SBV_SBP_DESC Stores the Subvention Plan description
API_SUBVENTIONS.SBV_SSP_CODE,SBV_SSP_CODE Stores the Subvention Sub-plan code
API_SUBVENTIONS.SBV_SSP_DESC,SBV_SSP_DESC Stores the Subvention Sub-plan description
API_SUBVENTIONS.SBV_SUBVENTION_TYPE_CD,SBV_SUBVENTION_TYPE_CD Reference key to lookup subvention_type_cd such as RATE CASH_BONUS etc
API_SUBVENTIONS.SBV_PRO_ID,SBV_PRO_ID Stores the producer id
API_SUBVENTIONS.SBV_SBV_CALC_METHOD_CD,SBV_SBV_CALC_METHOD_CD Reference key to lookup sbv_calc_method_cd such as SPREAD_DEFAULT SPREAD_DEFAULT_PV etc
API_SUBVENTIONS.SBV_SBV_COLLECTION_METHOD_CD,SBV_SBV_COLLECTION_METHOD_CD Reference key to lookup sbv_collection_method_cd such as UPFRONT UPFRONT_STMT etc
API_SUBVENTIONS.SBV_SUBVENTION_AMT,SBV_SUBVENTION_AMT Stores the subvention amount
API_SUBVENTIONS.SBV_SUBVENTION_RATE,SBV_SUBVENTION_RATE Stores the subvention rate
API_SUBVENTIONS.SBV_RFND_PDOFF_CALC_METHOD_CD,SBV_RFND_PDOFF_CALC_METHOD_CD Reference key to lookup RFND_PDOFF_CALC_METHOD_CD such as PERCENTAGE EARNED etc
API_SUBVENTIONS.SBV_RFND_PDOFF_BASIS_CD,SBV_RFND_PDOFF_BASIS_CD Reference key to lookup RFND_PDOFF_BASIS_CD such as TERM DAYS etc
API_SUBVENTIONS.SBV_RFND_PDOFF_PER,SBV_RFND_PDOFF_PER Stores the paid-off refund percentage
API_SUBVENTIONS.SBV_RFND_PDOFF_PERIOD,SBV_RFND_PDOFF_PERIOD Stores the paid-off basis code for refund
API_SUBVENTIONS.SBV_RFND_CHGOFF_CALC_METHOD_CD,SBV_RFND_CHGOFF_CALC_METHOD_CD Reference key to lookup RFND_CHGOFF_CALC_METHOD_CD such as PERCENTAGE EARNED etc
API_SUBVENTIONS.SBV_RFND_CHGOFF_BASIS_CD,SBV_RFND_CHGOFF_BASIS_CD Reference key to lookup RFND_CHGOFF_BASIS_CD such as TERM DAYS etc
API_SUBVENTIONS.SBV_RFND_CHGOFF_PER,SBV_RFND_CHGOFF_PER Stores the charge-off refund percentage
API_SUBVENTIONS.SBV_RFND_CHGOFF_PERIOD,SBV_RFND_CHGOFF_PERIOD Stores the charge-off refund period
API_SUBVENTIONS.SBV_SUBVENTION_TCD_CODE,SBV_SUBVENTION_TCD_CODE Stores the subvention transaction code
API_SUBVENTIONS.SBV_UPFNT_ITEMIZATION_TCD_CODE,SBV_UPFNT_ITEMIZATION_TCD_CODE Stores the upfront itemization transaction code
API_SUBVENTIONS.SBV_AMORTIZE_TXN_TYPE_CD,SBV_AMORTIZE_TXN_TYPE_CD Stores the amortization transaction type
API_SUBVENTIONS.SBV_AMORTIZE_CALC_METHOD_CD,SBV_AMORTIZE_CALC_METHOD_CD Stores the amortization calculation method
API_SUBVENTIONS.SBV_AMORTIZE_FREQ_CD,SBV_AMORTIZE_FREQ_CD Stores the amortization frequency
API_SUBVENTIONS.SBV_AMORTIZE_FEE_METHOD_CD,SBV_AMORTIZE_FEE_METHOD_CD Stores the amortization Fee Method
API_SUBVENTIONS.SBV_FIRST_AMORTIZE_DT,SBV_FIRST_AMORTIZE_DT Stores the first amortization date
API_SUBVENTIONS.SBV_AMORTIZE_START_DT,SBV_AMORTIZE_START_DT Stores the amortization start date
API_SUBVENTIONS.SBV_SBV_STATUS_TYPE_CD,SBV_SBV_STATUS_TYPE_CD Stores the Subvention status (REQUEST  DECISION or CONTRACT)
API_SUBVENTIONS.CREATION_DATE,CREATION_DATE Standard Who
API_SUBVENTIONS.CREATED_BY,CREATED_BY Standard Who
